T_keV,Palpha_per_ne2_Wm3_adopted,Palpha_per_ne2_Wm3_low,Palpha_per_ne2_Wm3_high
0.0861734671894523,5.132536719064946e-50,4.688798142904778e-50,5.576275295225116e-50
0.1723469343789047,2.1316690609862797e-46,1.9458787546076318e-46,2.3221573113651987e-46
0.2585204015683571,1.1577814680944843e-44,1.0577904162953503e-44,1.2607209805461395e-44
0.3446938687578095,1.4161822787001846e-43,1.2937045537668497e-43,1.5410089756336553e-43
0.4308673359472618,8.36117058652874e-43,7.651090899453665e-43,9.124224600130386e-43
0.5170408031367142,3.229135390897374e-42,2.953398391981924e-42,3.512518794465617e-42
0.6032142703261666,9.455039984525527e-42,8.638521818303297e-42,1.0295047870749124e-41
0.689387737515619,2.2871793417497268e-41,2.093094159456499e-41,2.4859624680432257e-41
0.7755612047050713,4.813221281623474e-41,4.404962198512357e-41,5.221480364734588e-41
0.8617346718945237,9.100245054035e-41,8.348690987387028e-41,9.904773447209546e-41
0.947908139083976,1.5900317946405423e-40,1.4557112444877225e-40,1.7290502887936345e-40
1.0340816062734284,2.5987993919290055e-40,2.3822275365015777e-40,2.825966112661747e-40
1.120255073462881,4.0326724345443145e-40,3.701367224055149e-40,4.3699725315573256e-40
1.2064285406523332,5.984044552242211e-40,5.492836709985298e-40,6.498742114500486e-40
1.2926020078417857,8.56805265829921e-40,7.857972971224136e-40,9.301622065375646e-40
1.378775475031238,1.1861650625337263e-39,1.0885229827347284e-39,1.2885050863329965e-39
1.5511224094101426,2.1097818765044634e-39,1.9346354180405313e-39,2.290225767621052e-39
1.7234693437890474,3.458553118411447e-39,3.174521243581418e-39,3.7608262631995845e-39
2.1543366797363093,9.271647632756419e-39,8.490608959583239e-39,1.0046691419405757e-38
2.585204015683571,1.9507236464361107e-38,1.7962653951492258e-38,2.1122288137234035e-38
3.4469386875780947,5.735688100898842e-38,5.285954638214828e-38,6.179426677059012e-38
4.3086733594726185,1.2239935275829155e-37,1.1304988857412072e-37,1.3204366300771438e-37
5.170408031367142,2.1724459866879887e-37,2.010292348138909e-37,2.3386980805849564e-37
6.032142703261666,3.424823108710146e-37,3.1756712382767847e-37,3.6898672771014792e-37
6.8938773751561895,4.984623860344891e-37,4.611844270282826e-37,5.327918843881748e-37
7.755612047050713,6.823562612371786e-37,6.3383496566387175e-37,7.3087755681048525e-37
8.617346718945237,8.916852702265892e-37,8.336701214339338e-37,9.54398363019517e-37
9.47908139083976,1.1281988963504732e-36,1.055392461685812e-36,1.2063027636677913e-36
10.340816062734284,1.3871991956085577e-36,1.2984024977671215e-36,1.4794948601454968e-36
11.202550734628808,1.66983616269621e-36,1.5656486903303836e-36,1.781070551062445e-36
12.064285406523332,1.9708123649607733e-36,1.851234118070557e-36,2.097437527851398e-36
12.926020078417856,2.2901278024022475e-36,2.1539598036828714e-36,2.438040661122304e-36
13.78775475031238,2.6265834977158632e-36,2.4714767751671926e-36,2.793435080265215e-36
15.511224094101426,3.3444682346114965e-36,3.153833036404371e-36,3.553944191429114e-36
17.234693437890474,4.115621193690111e-36,3.878764689300413e-36,4.369972531557325e-36
21.54336679736309,6.220901056631911e-36,5.8776060730950536e-36,6.564196040168767e-36
25.85204015683571,8.492078437865305e-36,8.030355202133599e-36,8.977291393598371e-36
30.160713516308327,1.0881684071293546e-35,1.0301532583366991e-35,1.1479330392697619e-35
34.46938687578095,1.3354238463867585e-35,1.265565872374618e-35,1.406431815094266e-35
38.77806023525356,1.5868267236014523e-35,1.5057254130222117e-35,1.669677517528445e-35
43.08673359472618,1.8417775501210516e-35,1.7494329029747098e-35,1.935871680615144e-35
51.70408031367142,2.3570256184223088e-35,2.2445432701419027e-35,2.470657961398082e-35
60.321427032616654,2.871674198071181e-35,2.7461500472665206e-35,3.0018962928761137e-35
68.9387737515619,3.383325334458131e-35,3.247157335738755e-35,3.5283876977444705e-35
77.55612047050712,3.886229054106322e-35,3.7558110288637815e-35,4.0401367993502245e-35
86.17346718945237,4.388936843316906e-35,4.2290342115491574e-35,4.5548343616084993e-35
107.71683398681546,5.595729433078717e-35,5.417842141739433e-35,5.797106444419364e-35
129.26020078417855,6.755052756743785e-35,6.541685972355448e-35,6.938934934606918e-35
150.80356758154164,7.813932487785543e-35,7.624055423398566e-35,8.009804438696365e-35
172.3469343789047,8.837332725778246e-35,8.605981281818373e-35,9.039199563212913e-35
215.4336679736309,1.0700740849994546e-34,1.045739963298698e-34,1.0914597460476903e-34
258.5204015683571,1.2380756622441733e-34,1.2131420518910322e-34,1.260060811944794e-34
301.6071351630833,1.3918854422692714e-34,1.3663523432637453e-34,1.4138705919698915e-34
344.69386875780947,1.5332529084224992e-34,1.5112677587218791e-34,1.555837546775504e-34
430.8673359472618,1.7864052689849443e-34,1.767368579936845e-34,1.8077909300331807e-34
517.0408031367142,2.0087270978892077e-34,1.9902898974934918e-34,2.0301127589374433e-34
603.2142703261666,2.202016861092441e-34,2.1841791493491105e-34,2.222803033488293e-34
689.3877375156189,2.378863820294722e-34,2.357478159246487e-34,2.4008489699953426e-34
775.5612047050713,2.5267276964053768e-34,2.5041430580523718e-34,2.5457643854534764e-34
861.7346718945237,2.648605932686327e-34,2.6308172035523988e-34,2.673637508258272e-34
