T_keV,Pfus_per_ne2_pureD_x0_Wm3,Pbrem_per_ne2_pureD_x0_Wm3,Pfus_per_ne2_He3_5pct_x0p05_Wm3,Pbrem_per_ne2_He3_5pct_x0p05_Wm3,Pfus_per_ne2_He3_10pct_x0p1_Wm3,Pbrem_per_ne2_He3_10pct_x0p1_Wm3,Pfus_per_ne2_He3_50pct_x0p5_Wm3,Pbrem_per_ne2_He3_50pct_x0p5_Wm3
0.08617333262,9.333085965436153e-51,1.8834319360698294e-37,7.64000914638387e-51,2.062806406171718e-37,6.24776829104035e-51,2.2258741062643432e-37,1.0370095519071523e-51,3.1390532267830486e-37
0.17234666524,3.8762616239566606e-47,2.6647423345714638e-37,3.173084925042328e-47,2.918527318816365e-37,2.5948528449443714e-47,3.1492409408571844e-37,4.306957693011035e-48,4.441237224285772e-37
0.25851999786,2.1053284823358895e-45,3.2650592098221383e-37,1.7234096170454495e-45,3.5760172298051996e-37,1.4093523554845662e-45,3.858706338880709e-37,2.3392573191911697e-46,5.441765349703564e-37
0.34469333048,2.575208608840787e-44,3.771816505062806e-37,2.10805164044061e-44,4.131037124592597e-37,1.7239018006920554e-44,4.457601324165133e-37,2.861370129284206e-45,6.286360841771343e-37
0.4308666631,1.5204093349659932e-43,4.218864789302016e-37,1.2446004524518636e-43,4.620661435902209e-37,1.0177987094343622e-43,4.985931114629656e-37,1.6894039165439934e-44,7.031441315503362e-37
0.51703999572,5.871911946367492e-43,4.6235567282541594e-37,4.806737319788745e-43,5.063895464278365e-37,3.930826878622496e-43,5.464203406118551e-37,6.524986688254656e-44,7.705927880423599e-37
0.60321332834,1.7193198898913315e-42,4.996195949207311e-37,1.4074414051776678e-42,5.472024134846101e-37,1.1509777840086935e-42,5.904595212699547e-37,1.910775283071118e-43,8.326993248678849e-37
0.68938666096,4.1590437129423396e-42,5.34349283044167e-37,3.4046452247436963e-42,5.852396909531353e-37,2.7842854057748287e-42,6.315036981431063e-37,4.623134168753812e-43,8.905821384069449e-37
0.7755599935799999,8.752436883479955e-42,5.67010633990208e-37,7.164977182760899e-42,6.210116467511801e-37,5.859559533548189e-42,6.70103476533882e-37,9.732252833182008e-43,9.450177233170131e-37
0.8617333262,1.6548033252295318e-41,5.979427136559128e-37,1.3546995346519677e-41,6.548896387659996e-37,1.1079115993436974e-41,7.066595706842605e-37,1.8409214943285327e-42,9.965711894265214e-37
0.9479066588199999,2.891339775683606e-41,6.274013758666999e-37,2.367067165253113e-41,6.871538878540048e-37,1.9359280393521701e-41,7.414743532970089e-37,3.218620853381848e-42,1.0456689597778334e-36
1.03407999144,4.725698686439936e-41,6.555853055206668e-37,3.8689843666117693e-41,7.180220012845398e-37,3.1644428870247165e-41,7.747826337971514e-37,5.265096778557438e-42,1.092642175867778e-36
1.1202533240599999,7.33307246092036e-41,6.826524363252103e-37,6.004017203166808e-41,7.476669540704685e-37,4.911000596431166e-41,8.067710611116121e-37,8.178994442210538e-42,1.1377540605420171e-36
1.20642665668,1.0881483517319346e-40,7.08730763646352e-37,8.909958133932282e-41,7.762289316126712e-37,7.288511100026597e-41,8.375909024911432e-37,1.2153460476077213e-41,1.1812179394105865e-36
1.2925999893,1.5580284782368322e-40,7.339257273386512e-37,1.2758514559004606e-40,8.038234156566178e-37,1.0437693478399068e-40,8.673667686729511e-37,1.7429679821699783e-41,1.2232095455644184e-36
1.37877332192,2.1569417340653293e-40,7.583254073510796e-37,1.76647798815683e-40,8.305468747178492e-37,1.4453156893182886e-40,8.962027541421849e-37,2.4177029080011393e-41,1.263875678918466e-36
